date,pnl
2017-11-13,0.0
2017-11-14,-585.54622973823680502963505
2017-11-15,-1349.10328002731422435127463
2017-11-16,1367.99821997399814193607189
2017-11-17,238.59972026575652215368724
2017-11-20,504.30122084801715551037235
2017-11-21,-1129.79727827916370789544508
2017-11-22,251.15422288427019292639728
2017-11-23,-313.64427566162487014009381
2017-11-24,-258.74277391679261431495840
2017-11-27,-207.79127188117674592017332
2017-11-28,-224.88976955472096037754197
2017-11-29,346.25733306263105779341620
2017-11-30,267.26323597093563497757681
2017-12-01,-792.98526082975089153367815
2017-12-04,-925.80965733937217354034837
2017-12-05,117.94803498231824640145511
2017-12-06,-646.43390803052834868232849
2017-12-07,1774.39609895797798228698301
2017-12-08,574.64610594783750127714662
2017-12-11,276.48611293905047030664424
2017-12-12,-1157.06388006838284855530741
2017-12-13,-988.72387307446219318874704
2017-12-14,-360.20386607918730142295894
2017-12-15,1979.56614091744208896353684
2017-12-18,1551.67614791542624024299437
2017-12-19,1397.0361549147654147384516
2017-12-20,828.2461619154598748237402
2017-12-21,1727.1061689175098829234954
2017-12-22,474.0961759209157015131660
2017-12-26,854.9961829256775931190238
2017-12-27,-435.9058100682041796818261
2017-12-28,308.4861969392706457385644
2017-12-29,959.4762039481023320589959
2018-01-01,-892.3922939132357699181344
2018-01-02,-1570.4589249599622164763815
2018-01-03,2051.6058999000568529716046
2018-01-04,3021.9922501811073711531220
2018-01-05,-36.4571458921901316298384
2018-01-08,1702.2213858806933462790324
2018-01-09,326.3691954510499103594370
2018-01-10,672.2518818478542543205339
2018-01-11,813.0733731441990927238166
2018-01-12,-108.7516088341390747227363
2018-01-15,550.7656981594410097983315
2018-01-16,-1247.3237604942349840494286
2018-01-17,957.1043258981990389537222
2018-01-18,-2085.5196825308434067605342
2018-01-19,520.3459950204240186909176
2018-01-22,854.6211383275174093435981
2018-01-23,2636.4126988007034199897932
2018-01-24,-1382.0227431962932366462281
2018-01-25,-364.0613265393840857513948
2018-01-29,-1041.6040476187966545731511
2018-01-30,-573.7666025131456382037664
2018-01-31,-1025.2849824483291034703446
2018-02-01,-62.7813513015964758087829
2018-02-02,-4170.1227561973003942927579
2018-02-05,-10.5551012592362983035215
2018-02-06,-966.0184043224640033769845
2018-02-07,1148.7116684129368003040232
2018-02-08,2023.9158874006926234541656
2018-02-09,-149.3960130988763113922339
2018-02-12,1184.2852782928048961904687
2018-02-14,-809.8816635103952535833013
2018-02-15,-716.8021116043682397189135
2018-02-16,-1700.4927086317155583178571
2018-02-19,-1319.1785751714141952046932
2018-02-20,381.1631268655307008447357
2018-02-21,-0.7078347679877560156900
2018-02-22,287.3533479176132126981542
2018-02-23,1683.5408746522341803584503
2018-02-26,1124.4247789182639340229324
2018-02-27,-1061.7238269458770138940841
2018-02-28,-640.3417312592045828558558
2018-03-01,-628.2987301318937790830046
2018-03-05,-1563.9948196278351759176056
2018-03-06,-1510.8764449292402258765158
2018-03-07,-1838.3650037762148552777647
2018-03-08,382.5410122785112204014913
2018-03-09,-674.2357916574367704718459
2018-03-12,1289.2803983769428815180907
2018-03-13,883.5405104417554613059566
2018-03-14,113.5683404601182727435227
2018-03-15,220.0917818163444030705282
2018-03-16,-609.4941117472711761742679
2018-03-19,-1556.6884006908986962045999
2018-03-20,-759.0870689571778955849599
